MemberID,DiscussionID,Rating,FavoriteTrack1,FavoriteTrack2,FavoriteTrack3
88,1,7,NA,NA,NA
59,2,8,NA,NA,NA
88,3,9,NA,NA,NA
294,3,10,NA,NA,NA
201,3,7,NA,NA,NA
88,4,7,NA,NA,NA
19,5,10,NA,NA,NA
59,5,8,NA,NA,NA
294,6,9,NA,NA,NA
88,7,9,NA,NA,NA
59,7,9,NA,NA,NA
59,8,7,NA,NA,NA
201,8,9,NA,NA,NA
59,9,5,NA,NA,NA
59,10,9,NA,NA,NA
59,11,4,NA,NA,NA
313,11,7,NA,NA,NA
59,12,10,NA,NA,NA
88,13,7,NA,NA,NA
59,14,6,NA,NA,NA
88,15,9,NA,NA,NA
59,15,8,NA,NA,NA
201,16,9,NA,NA,NA
313,16,9,NA,NA,NA
59,16,10,NA,NA,NA
59,17,7,NA,NA,NA
59,18,9,NA,NA,NA
201,18,10,NA,NA,NA
9,19,6,The Chain,NA,NA
47,19,7,Go Your Own Way,NA,NA
4,19,8,Dreams,NA,NA
38,19,8,The Chain,NA,NA
2,19,8,You Make Loving Fun,NA,NA
27,19,8,Dreams,NA,NA
14,19,8,The Chain,NA,NA
42,19,7,Go Your Own Way,NA,NA
29,19,5,Oh Daddy,NA,NA
8,19,6,The Chain,NA,NA
6,19,8,Go Your Own Way,NA,NA
7,19,9,Gold Dust Woman,NA,NA
10,19,10,The Chain,NA,NA
11,19,7,Go Your Own Way,NA,NA
3,19,4,Dreams,NA,NA
44,19,8,Songbird,NA,NA
13,19,7,The Chain,NA,NA
40,19,8,Go Your Own Way,NA,NA
32,19,7,The Chain,NA,NA
43,19,9,Gold Dust Woman,NA,NA
12,19,8,Dreams,NA,NA
46,19,8,Second Hand News,NA,NA
30,19,7,Dreams,NA,NA
31,19,8,Never Going Back Again,NA,NA
15,19,8,Dreams,NA,NA
41,19,7,Don't Stop,NA,NA
34,19,9,Dreams,NA,NA
35,19,7,The Chain,NA,NA
36,19,7,The Chain,NA,NA
37,19,9,The Chain,NA,NA
45,19,7,Dreams,NA,NA
39,19,7,Dreams,NA,NA
33,19,10,Songbird,NA,NA
5,19,6,Dreams,NA,NA
28,19,8,Never Going Back Again,NA,NA
58,19,6,The Chain,NA,NA
56,19,8,The Chain,NA,NA
65,19,8,Go Your Own Way,NA,NA
64,19,7,The Chain,NA,NA
63,19,5,The Chain,NA,NA
59,19,9,The Chain,NA,NA
57,19,5,The Chain,NA,NA
51,19,7,You Make Loving Fun,NA,NA
68,19,5,The Chain,NA,NA
16,19,7,The Chain,NA,NA
53,19,9,Songbird,NA,NA
52,19,9,The Chain,NA,NA
54,19,5,The Chain,NA,NA
69,19,7,The Chain,NA,NA
62,19,8,Second Hand News,NA,NA
55,19,8,Never Going Back Again,NA,NA
50,19,7,The Chain,NA,NA
60,19,9,Dreams,NA,NA
24,19,7,Songbird,NA,NA
67,19,6,Never Going Back Again,NA,NA
88,19,6,NA,NA,NA
19,19,8,You Make Loving Fun,NA,NA
20,19,10,The Chain,NA,NA
21,19,6,The Chain,NA,NA
22,19,10,I Don't Want to Know,NA,NA
23,19,7,The Chain,NA,NA
49,19,7,The Chain,NA,NA
18,19,8,Second Hand News,NA,NA
17,19,8,You Make Loving Fun,NA,NA
26,19,9,The Chain,NA,NA
48,19,6,Go Your Own Way,NA,NA
1,19,8,Go Your Own Way,NA,NA
66,19,7,You Make Loving Fun,NA,NA
61,19,6,The Chain,NA,NA
25,19,9,Dreams,NA,NA
84,20,8,Bad Religion,NA,NA
88,20,8,Thinkin Bout You,NA,NA
82,20,8,Pink Matter,NA,NA
6,20,7,Pyramids,NA,NA
62,20,7,Pyramids,NA,NA
8,20,8,Crack Rock,NA,NA
37,20,7,Bad Religion,NA,NA
59,20,8,Pyramids,NA,NA
14,20,4,Pyramids,NA,NA
15,20,9,Pyramids,NA,NA
52,20,6,Bad Religion,NA,NA
35,20,8,Crack Rock,NA,NA
9,20,9,Crack Rock,NA,NA
83,20,7,Pyramids,NA,NA
31,20,7,Monks,NA,NA
81,20,9,Forrest Gump,NA,NA
86,20,8,nan,NA,NA
76,20,9,Monks,NA,NA
46,20,7,Pilot Jones,NA,NA
69,20,10,Pyramids,NA,NA
57,20,10,Sweet Life,NA,NA
43,20,7,Bad Religion,NA,NA
39,20,10,Pyramids,NA,NA
75,20,6,Pyramids,NA,NA
85,20,8,Forrest Gump,NA,NA
41,20,9,Pink Matter,NA,NA
1,20,9,Pyramids,NA,NA
11,20,9,Pink Matter,NA,NA
87,20,8,Forrest Gump,NA,NA
32,20,8,Super Rich Kids,NA,NA
12,20,10,Pink Matter,NA,NA
29,20,6,Sweet Life,NA,NA
92,20,8,Super Rich Kids,NA,NA
71,20,9,Pink Matter,NA,NA
33,20,9,Pyramids,NA,NA
70,20,8,Pink Matter,NA,NA
21,20,6,Super Rich Kids,NA,NA
90,20,10,Pyramids,NA,NA
93,20,10,Super Rich Kids,NA,NA
64,20,8,Pink Matter,NA,NA
74,20,9,Bad Religion,NA,NA
58,20,8,Crack Rock,NA,NA
72,20,7,Pink Matter,NA,NA
91,20,9,Sierra Leone,NA,NA
68,20,7,Pyramids,NA,NA
94,20,7,Pyramids,NA,NA
19,20,7,Bad Religion,NA,NA
23,20,6,Pyramids,NA,NA
73,20,9,Pyramids,NA,NA
294,20,8,NA,NA,NA
89,20,8,Thinkin Bout You,NA,NA
50,20,9,Pink Matter,NA,NA
49,20,9,Forrest Gump,NA,NA
55,20,6,Crack Rock,NA,NA
77,20,8,Forrest Gump,NA,NA
30,20,5,nan,NA,NA
80,20,7,Pyramids,NA,NA
18,20,7,Bad Religion,NA,NA
78,20,9,Pink Matter,NA,NA
79,20,8,Super Rich Kids,NA,NA
99,21,8,Ex-Factor,NA,NA
47,21,8,I Used to Love Him,NA,NA
52,21,10,Ex-Factor,NA,NA
98,21,9,The Miseducation of Lauryn Hill,NA,NA
100,21,9,Doo Wop,NA,NA
33,21,10,To Zion,NA,NA
88,21,9,Ex-Factor,NA,NA
44,21,8,Ex-Factor,NA,NA
37,21,10,Ex-Factor,NA,NA
65,21,9,When It Hurts so Bad,NA,NA
